200330 214055.717|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Admin\Desktop\CTDL&GT\pc2Client\pc2Client\bin\logs directory.
200330 214055.718|INFO|AWT-EventQueue-0|info|
200330 214055.718|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_241 build 5102 Windows 10 10.0 (amd64) 
200330 214055.718|INFO|AWT-EventQueue-0|info|Login: 357 (aka team357)
200330 214055.718|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Admin\Desktop\CTDL&GT\pc2Client\pc2Client\bin
200330 214055.719|INFO|AWT-EventQueue-0|startLog|Process id is 13016@Admin
200330 214055.720|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.10.117:50002 as TEAM357 @ site 0
200330 214055.720|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM357 @ site 0
200330 214055.720|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM357 @ site 0 -> SERVER0 @ site 0
200330 214055.720|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM357 @ site 0 -> SERVER0 @ site 0
200330 214055.721|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200330 214055.721|INFO|Thread-6|run|send(Serializable)
200330 214056.154|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200330 214056.155|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_FAILED] #13192 SERVER0 @ site 1 -> TEAM357 @ site 0
200330 214056.155|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #13192, o#13192 ) recieveObject
200330 214056.155|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-7332637654837334181)
200330 214056.156|INFO|Thread-7|dumpPacket|    To: TEAM357 @ site 0
200330 214056.156|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
200330 214056.156|INFO|Thread-7|info|handlePacket start Packet[LOGIN_FAILED] #13192 SERVER0 @ site 1 -> TEAM357 @ site 0
200330 214056.156|INFO|Thread-7|dumpPacket|Packet LOGIN_FAILED (Seq #13192, o#13192 ) handlePacket
200330 214056.156|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-7332637654837334181)
200330 214056.156|INFO|Thread-7|dumpPacket|    To: TEAM357 @ site 0
200330 214056.157|INFO|Thread-7|dumpPacket|   key: MESSAGE_STRING is: java.lang.String Invalid password
200330 214057.129|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_FAILED] #13192 SERVER0 @ site 1 -> TEAM357 @ site 0
